type	classification	count
agent-definition	active-global	1
editor-instructions	inspection/archive	2
editor-instructions	maintained	1
editor-instructions	temporary/disposable	5
editor-instructions	vendor/dependency	1
editor-path-instructions	temporary/disposable	25
extension	active-global	5
extension	maintained	18
hooks	cache/generated	1
hooks	installed-plugin-source	5
hooks	repository-external-or-upstream	9
hooks	repository-first-party	28
hooks	temporary/disposable	1
plugin-registry	active-global	2
prompt-command	maintained	22
prompt-template	maintained	8
rules	active-global	1
settings	active-global	4
settings	maintained	2
settings	repository-external-or-upstream	1
settings	repository-first-party	10
settings-backup	backup/archive	1
settings-source	maintained	2
skill	active-installed-resource	5
skill	backup/archive	6
skill	cache/generated	291
skill	inspection/archive	2
skill	installed-package	2
skill	installed-plugin-source	26
skill	maintained	30
skill	repository-external-or-upstream	21
skill	repository-first-party	21
skill	temporary/disposable	125
skill	vendor/dependency	33
startup	active-global	3
startup	backup/archive	2
startup	cache/generated	2
startup	inspection/archive	2
startup	maintained	2
startup	repository-external-or-upstream	10
startup	repository-first-party	37
startup	temporary/disposable	43
startup	vendor/dependency	10
startup-or-application-prompt	temporary/disposable	2
startup-or-application-prompt	vendor/dependency	3
symlink-surface	backup/archive	98
symlink-surface	maintained	85
