stable_id	path	real_path	type	bytes	lines	sha256	owning_repository	ownership	classification	consumer	discovery_mechanism	scope	current_activation	content_summary	unique_information	duplication	apparent_age	verification	risks_count_only	decision	destination_or_archive	validation	commit	review_date
AI-4ded238af15b	/home/jack/.cache/uv/archive-v0/UcOEZtGpdI_46UQ-2fPc5/playwright/driver/package/lib/tools/cli-client/skill/SKILL.md	/home/jack/.cache/uv/archive-v0/UcOEZtGpdI_46UQ-2fPc5/playwright/driver/package/lib/tools/cli-client/skill/SKILL.md	skill	11869	404	b4c81c39e39f30e4790607e57b12283878f3751daca9c0e44f301899f2108b13		external	cache/generated	none	none unless explicitly opened/entered	contained location	inactive-by-location	skill playbook (playwright-cli)	not assessed; non-authoritative copy	group by sha256=b4c81c39e39f	mtime=2026-07-29	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-generated-unchanged; remove only via owning cache lifecycle	cache owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-9040ff6ddb89	/home/jack/.cache/uv/archive-v0/UcOEZtGpdI_46UQ-2fPc5/playwright/driver/package/lib/tools/trace/SKILL.md	/home/jack/.cache/uv/archive-v0/UcOEZtGpdI_46UQ-2fPc5/playwright/driver/package/lib/tools/trace/SKILL.md	skill	4712	171	df85506bfa8a445c961efa1ac244cca733667b717711bcc99c1f93994c29d5dc		external	cache/generated	none	none unless explicitly opened/entered	contained location	inactive-by-location	skill playbook (playwright-trace)	not assessed; non-authoritative copy	group by sha256=df85506bfa8a	mtime=2026-07-29	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-generated-unchanged; remove only via owning cache lifecycle	cache owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-2f007b26e17e	/home/jack/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zerocopy-0.8.52/AGENTS.md	/home/jack/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zerocopy-0.8.52/AGENTS.md	startup	3112	79	24b16178226d2f96cafd03eed01113b4b0240c9e6a6cd938a155e991b4f11034		external	vendor/dependency	none	none unless explicitly opened/entered	contained location	inactive-by-location	startup; sections: Instructions for AI Agents, Agent Persona & Role, Critical Rules	not assessed; non-authoritative copy	group by sha256=24b16178226d	mtime=2006-07-24	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-cbfc90d798a8	/home/jack/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zerocopy-0.8.54/AGENTS.md	/home/jack/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zerocopy-0.8.54/AGENTS.md	startup	3112	79	24b16178226d2f96cafd03eed01113b4b0240c9e6a6cd938a155e991b4f11034		external	vendor/dependency	none	none unless explicitly opened/entered	contained location	inactive-by-location	startup; sections: Instructions for AI Agents, Agent Persona & Role, Critical Rules	not assessed; non-authoritative copy	group by sha256=24b16178226d	mtime=2006-07-24	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-1be2f34802b8	/home/jack/.claude/commands/balls.md	/home/jack/github/agent-skills/commands/balls.md	prompt-command	2161	87	09069b3a820f83d35a6f60cfde8aa27634724a066aaeb34705a180b2653724d9	/home/jack/github/agent-skills	first-party	maintained	tool	tool resource discovery/configuration	global or explicit invocation	potentially-active	prompt-command; sections: /balls, Protocol, Decomposition	manual review required	group by sha256=09069b3a820f	mtime=2026-04-13	complete-byte read; metadata/hash; activation requires discovery evidence	symlink	review/reconcile in prioritized safe edit plan; no edit in this audit	nearest reviewed AGENTS.md or canonical agent-skills source	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-a03a9ccbcf53	/home/jack/.claude/commands/checkpoint.md	/home/jack/github/agent-skills/commands/checkpoint.md	prompt-command	887	29	f71885f26f80ea25916756263d9af3da7e6746fb68bca26c98eab2a168b8ce80	/home/jack/github/agent-skills	first-party	maintained	tool	tool resource discovery/configuration	global or explicit invocation	potentially-active	prompt-command; sections: /checkpoint, Checkpoint, Todos	manual review required	group by sha256=f71885f26f80	mtime=2026-04-13	complete-byte read; metadata/hash; activation requires discovery evidence	symlink	review/reconcile in prioritized safe edit plan; no edit in this audit	nearest reviewed AGENTS.md or canonical agent-skills source	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-e747dd38b92c	/home/jack/.claude/commands/clean-wisdom.md	/home/jack/github/agent-skills/commands/clean-wisdom.md	prompt-command	5601	148	8f7524b4b4a3e75aac56f3977449eb69a84c5d24c962a8ebe1d965dccdb6dcde	/home/jack/github/agent-skills	first-party	maintained	tool	tool resource discovery/configuration	global or explicit invocation	potentially-active	prompt-command; sections: /clean-wisdom, Pattern Distillery Process:, Analysis Output:	manual review required	group by sha256=8f7524b4b4a3	mtime=2026-04-13	complete-byte read; metadata/hash; activation requires discovery evidence	symlink	review/reconcile in prioritized safe edit plan; no edit in this audit	nearest reviewed AGENTS.md or canonical agent-skills source	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-ce419068b9a6	/home/jack/.claude/commands/doc-lint.md	/home/jack/github/agent-skills/commands/doc-lint.md	prompt-command	1915	58	42efe467d26a7d524f858ef42cef4cefb2724353f71f8c1409097695d41fcb7c	/home/jack/github/agent-skills	first-party	maintained	tool	tool resource discovery/configuration	global or explicit invocation	potentially-active	prompt-command; sections: Rules, Classification Questions, Actions	manual review required	group by sha256=42efe467d26a	mtime=2026-04-13	complete-byte read; metadata/hash; activation requires discovery evidence	symlink	review/reconcile in prioritized safe edit plan; no edit in this audit	nearest reviewed AGENTS.md or canonical agent-skills source	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-1c7f569e3b29	/home/jack/.claude/commands/emacs.md	/home/jack/github/agent-skills/commands/emacs.md	prompt-command	5665	217	bd718562414ecf3081168a7299b0086d3e839e2fc42318446f50c626c3f016c8	/home/jack/github/agent-skills	first-party	maintained	tool	tool resource discovery/configuration	global or explicit invocation	potentially-active	prompt-command; sections: Emacs Quick Reference, Windows, Buffers	manual review required	group by sha256=bd718562414e	mtime=2026-04-13	complete-byte read; metadata/hash; activation requires discovery evidence	symlink	review/reconcile in prioritized safe edit plan; no edit in this audit	nearest reviewed AGENTS.md or canonical agent-skills source	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-4c99554556fb	/home/jack/.claude/commands/references	/home/jack/github/agent-skills/commands/references	symlink-surface	0	0	076e2801c1e0c222a59b08e59c3bf2ca59496195357993c3c9ca90da94f735f6	/home/jack/github/agent-skills	first-party	maintained	configured	configured global symlink	global agent configuration	active-link	symlink-surface	manual review required	group by sha256=076e2801c1e0	mtime=2026-04-13	complete-byte read; metadata/hash; activation requires discovery evidence	symlink	retain link only if canonical target remains approved; eliminate broken/duplicate links	/home/jack/github/agent-skills	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
